r_f1,r_f2,r_f3,s_f1,s_f2,s_f3
-1.1654778859509962,-1.3444507903009861,-2.3823274198242683,-1.166081408698821,-1.0579207111190774,-2.0830626831551586
-1.15067784501033,-0.8821714671276415,-2.4713120475630364,-1.1660814170814064,-0.9126645854786671,-2.503160435013823
-1.1614112919590498,-0.8440492958820621,-2.8623612689039204,-1.1660813852737237,-0.8001605101324252,-2.816521869429745
-1.153087072650948,-1.3189093871472253,-1.7230440537771534,-1.1660813594229926,-1.4166060219006247,-1.8250827514393393
-1.1643474345221245,-1.0030225690284562,-1.7091289049217144,-1.166081442458332,-1.3757040986735776,-1.8347037056661137
-1.1509197436134102,-0.866027976161792,-1.7904361905802286,-1.166081404100255,-1.0941923341398656,-2.028741180499016
-1.1607394415914358,-1.2389024963313782,-2.869785057827488,-1.1660814172689757,-0.9090180588036726,-2.525239122459426
-1.1690830267373329,-1.705337249132381,-2.466938563912792,-1.166081379404549,-1.2021683777778096,-1.9414066471626246
-1.1669004618313668,-1.8973149684478443,-1.5518909977306738,-1.1660814424583321,-1.9204097910682767,-1.5711197123786764
-1.152362104543017,-1.1163562443229182,-1.6519574627900657,-1.1660813678830646,-1.3249864537167764,-1.8698601137887516
-1.1619904894610655,-0.9814917001699467,-1.892719018076579,-1.1660814017243197,-1.102174292238037,-2.0187652779028493
-1.1557665597729572,-0.7619161377389265,-2.564731679065804,-1.166081418381427,-0.8877331759661092,-2.6961406184937085
-1.163013448591993,-1.4487859223657042,-1.5680042710116633,-1.1660813409487387,-1.6199261924756034,-1.7467507593347684
-1.1585892828927775,-1.5550248463647875,-1.7404487763640568,-1.1660813362928142,-1.5751757117257046,-1.761495226153987
-1.157713156893151,-0.6567760963844148,-1.6354197758789113,-1.1660814079297874,-1.068800521597012,-2.0657563870620117
-1.154329071599981,-1.1897777175406858,-2.1731684511652056,-1.1660814073556587,-1.076177511065184,-2.0545193529599644
-1.167690430632362,-1.057488896934918,-1.55026406555084,-1.1660814424583321,-1.9215783343412784,-1.5711427016829767
-1.1665244669354233,-0.7134933627543233,-1.651118709653742,-1.1660814425725385,-1.2486718793799514,-1.845458329407233
-1.1692636343347946,-1.647043314473284,-1.9963744259187497,-1.166081442458332,-1.5282754539037775,-1.7734654491769648
-1.1526435768323837,-1.1520862737820132,-1.9982647988200448,-1.1660813853569556,-1.1394025679946782,-1.98501737073938
-1.1674888240288495,-1.1953165733739541,-1.635683458482027,-1.166081442458332,-1.8709940740876732,-1.5993592987037948
-1.1685361040471716,-1.4701230410156012,-1.6845608980612132,-1.166081442458332,-1.9188291035116372,-1.5733591219325265
-1.1522634832009284,-1.2590098755717567,-1.649845441621654,-1.1660813587730439,-1.4237013603987163,-1.8218565359492915
-1.1626350438440551,-1.4621181179781289,-1.5652347015515968,-1.1660813334825493,-1.6321588059099468,-1.742832737277983
-1.166148455620826,-1.6921729272683232,-2.810584658747585,-1.1660814106793649,-1.034515778888834,-2.1236983319999143
-1.1634061329347694,-1.5653640136525515,-1.7508757327789668,-1.1660813362968425,-1.5754448125513427,-1.7614045580336248
-1.1504777762795761,-0.7185102557648669,-2.8798904896261037,-1.1660813975984978,-0.727508569079521,-2.8892887276560537
-1.1629144273111927,-1.9083239997661,-2.012631946009655,-1.1660813300717259,-1.64585716838887,-1.7384999246642188
-1.1651044315332282,-0.7182886032382502,-1.7543492834860894,-1.1660814424583321,-1.0677134461244975,-1.9730067585112006
-1.1555426666974398,-1.3729296397960014,-2.3059465209281833,-1.166081402224712,-1.100225295746682,-2.0211219938937757
-1.1599797290461402,-1.2030258392533049,-2.331744276078129,-1.1660814116492586,-1.023656880792707,-2.144403374595985
-1.1693332479077567,-1.248407406656261,-2.700834704735751,-1.1660814157639277,-0.9388037582373189,-2.377470917880638
-1.1511174393006374,-1.1505427972605777,-2.310299985535783,-1.1660814122427627,-1.0128190361929754,-2.166455178416266
-1.1624064111130987,-0.9675247589082152,-2.0830003290160994,-1.166081411574477,-1.0245801001454773,-2.142591466054617
-1.1689401233747136,-1.5059485179161314,-2.3448024102613356,-1.1660813841391704,-1.1523768001659855,-1.9755164032895058
-1.1513059742103968,-0.7004379478182494,-1.818071811443211,-1.1660814119194647,-1.0199487782480066,-2.1517831176974855
-1.1527564555169725,-1.9580624045189383,-1.5238734781197565,-1.1660814041828393,-1.968081415500008,-1.534337789495708
-1.1573168705836103,-0.7088703069921322,-2.422414887227924,-1.1660814179398418,-0.8961133342972901,-2.6179798497778557
-1.1509306640414971,-0.7223530079813252,-1.6327189329074476,-1.1660814030060407,-1.0974816722004512,-2.024519971157355
-1.1554357026260575,-1.4080833917954783,-2.655682550859504,-1.1660814133040431,-0.9898139195706677,-2.218823345289487
-1.155343831690025,-1.0122809263687795,-2.6825198229722313,-1.1660814176003007,-0.9026175391728912,-2.567982536005772
-1.1649189676035263,-0.8011999102824018,-2.6569519979359635,-1.1660814058608593,-0.8792588692959747,-2.7384802433748376
-1.1666250221727055,-0.8700648078155929,-2.4039966779873008,-1.166081442458332,-0.8481825435746929,-2.763949744141038
-1.1539348724364247,-0.9587151612379115,-2.2165481150133854,-1.1660814136989208,-0.9814075955222855,-2.240249109141477
-1.160444400559016,-1.276695245787553,-2.2830088851589343,-1.1660814078399686,-1.0687550281223255,-2.065826889748461
-1.1542632935285089,-1.6810834969726813,-1.9117662609603379,-1.1660813388491287,-1.5465731083307523,-1.7712776299995834
-1.168253665794382,-1.325459659845946,-1.9481945146518647,-1.166081442458332,-1.461746343207987,-1.797920743034203
-1.153487678050166,-1.285025349261641,-2.050579193213407,-1.1660813806494896,-1.1888851436108758,-1.9501660894375101
-1.1624618758144385,-1.3029204365409823,-1.5721131741809824,-1.1660813549314213,-1.5076276423724333,-1.7859184635786645
-1.1666618953761705,-0.6997598178111846,-2.6869091810414867,-1.1660814424583321,-0.8371393497796721,-2.7746247205292556
-1.1662549928683354,-1.8773772191382085,-2.4568054680236613,-1.1660813684768474,-1.3186172465186063,-1.8732117363054288
-1.153212472682107,-1.226604705462951,-2.1396000508403636,-1.1660813887025778,-1.1044781503828431,-2.0120456510416433
-1.1626466597296383,-1.1445356687454589,-2.472706104036457,-1.166081414464695,-0.9653395354320652,-2.2855457136622483
-1.1540781476019566,-1.1070235504978543,-2.2860719099151696,-1.1660814125463896,-1.0061755444369562,-2.1807417794980077
-1.158553021024289,-0.7954096285381503,-2.8818176502751314,-1.1660813958934775,-0.7632023136739029,-2.848178899827316
-1.1638259080427293,-1.7545973550178848,-2.0240196522676968,-1.1660813498921205,-1.5213450028605118,-1.7804005316530844
-1.1688979182033816,-1.7268035857463375,-2.901103806278919,-1.1660814120819085,-1.016360508534979,-2.159085512486972
